"DONNEES - Effectifs des médecins"
"SEXE - Ensemble tous sexes confondus"
"SECT.ACTIVITE - ENSEMBLE"

;;ANNEE;"2015"
"FRANCE ENTIERE";"ORL et chirurgie cervico-faciale";"Entre 35 et 39 ans";209
"FRANCE ENTIERE";"ORL et chirurgie cervico-faciale";"Entre 40 et 44 ans";212
"FRANCE ENTIERE";"ORL et chirurgie cervico-faciale";"Entre 45 et 49 ans";292
"FRANCE ENTIERE";"ORL et chirurgie cervico-faciale";"Entre 50 et 54 ans";379
"FRANCE ENTIERE";"ORL et chirurgie cervico-faciale";"Entre 55 et 59 ans";673
"FRANCE ENTIERE";"ORL et chirurgie cervico-faciale";"Entre 60 et 64 ans";591
"FRANCE ENTIERE";"ORL et chirurgie cervico-faciale";"Entre 65 et 69 ans";303
"FRANCE ENTIERE";"ORL et chirurgie cervico-faciale";"70 ans et plus";111
"FRANCE ENTIERE";"Oncologie option médicale";"Ensemble tous âges confondus";896
"FRANCE ENTIERE";"Oncologie option médicale";"Moins de 30 ans";8
"FRANCE ENTIERE";"Oncologie option médicale";"Entre 30 et 34 ans";124
"FRANCE ENTIERE";"Oncologie option médicale";"Entre 35 et 39 ans";115
"FRANCE ENTIERE";"Oncologie option médicale";"Entre 40 et 44 ans";126
"FRANCE ENTIERE";"Oncologie option médicale";"Entre 45 et 49 ans";148
"FRANCE ENTIERE";"Oncologie option médicale";"Entre 50 et 54 ans";156
"FRANCE ENTIERE";"Oncologie option médicale";"Entre 55 et 59 ans";100
"FRANCE ENTIERE";"Oncologie option médicale";"Entre 60 et 64 ans";68
"FRANCE ENTIERE";"Oncologie option médicale";"Entre 65 et 69 ans";41
"FRANCE ENTIERE";"Oncologie option médicale";"70 ans et plus";10
"FRANCE ENTIERE";"Ophtalmologie";"Ensemble tous âges confondus";5907
"FRANCE ENTIERE";"Ophtalmologie";"Moins de 30 ans";44
"FRANCE ENTIERE";"Ophtalmologie";"Entre 30 et 34 ans";397
"FRANCE ENTIERE";"Ophtalmologie";"Entre 35 et 39 ans";481
"FRANCE ENTIERE";"Ophtalmologie";"Entre 40 et 44 ans";408
"FRANCE ENTIERE";"Ophtalmologie";"Entre 45 et 49 ans";442
"FRANCE ENTIERE";"Ophtalmologie";"Entre 50 et 54 ans";613
"FRANCE ENTIERE";"Ophtalmologie";"Entre 55 et 59 ans";1478
"FRANCE ENTIERE";"Ophtalmologie";"Entre 60 et 64 ans";1246
"FRANCE ENTIERE";"Ophtalmologie";"Entre 65 et 69 ans";575
"FRANCE ENTIERE";"Ophtalmologie";"70 ans et plus";223
"FRANCE ENTIERE";"Pédiatrie";"Ensemble tous âges confondus";7861
"FRANCE ENTIERE";"Pédiatrie";"Moins de 30 ans";174
"FRANCE ENTIERE";"Pédiatrie";"Entre 30 et 34 ans";893
"FRANCE ENTIERE";"Pédiatrie";"Entre 35 et 39 ans";938
"FRANCE ENTIERE";"Pédiatrie";"Entre 40 et 44 ans";843
"FRANCE ENTIERE";"Pédiatrie";"Entre 45 et 49 ans";828
"FRANCE ENTIERE";"Pédiatrie";"Entre 50 et 54 ans";849
"FRANCE ENTIERE";"Pédiatrie";"Entre 55 et 59 ans";1350
"FRANCE ENTIERE";"Pédiatrie";"Entre 60 et 64 ans";1132
"FRANCE ENTIERE";"Pédiatrie";"Entre 65 et 69 ans";619
"FRANCE ENTIERE";"Pédiatrie";"70 ans et plus";235
"FRANCE ENTIERE";"Pneumologie";"Ensemble tous âges confondus";2952
"FRANCE ENTIERE";"Pneumologie";"Moins de 30 ans";61
"FRANCE ENTIERE";"Pneumologie";"Entre 30 et 34 ans";244
"FRANCE ENTIERE";"Pneumologie";"Entre 35 et 39 ans";240
"FRANCE ENTIERE";"Pneumologie";"Entre 40 et 44 ans";301
"FRANCE ENTIERE";"Pneumologie";"Entre 45 et 49 ans";381
"FRANCE ENTIERE";"Pneumologie";"Entre 50 et 54 ans";396
"FRANCE ENTIERE";"Pneumologie";"Entre 55 et 59 ans";575
"FRANCE ENTIERE";"Pneumologie";"Entre 60 et 64 ans";518
"FRANCE ENTIERE";"Pneumologie";"Entre 65 et 69 ans";197
"FRANCE ENTIERE";"Pneumologie";"70 ans et plus";39
"FRANCE ENTIERE";"Psychiatrie";"Ensemble tous âges confondus";15048
"FRANCE ENTIERE";"Psychiatrie";"Moins de 30 ans";245
"FRANCE ENTIERE";"Psychiatrie";"Entre 30 et 34 ans";1324
"FRANCE ENTIERE";"Psychiatrie";"Entre 35 et 39 ans";1250
"FRANCE ENTIERE";"Psychiatrie";"Entre 40 et 44 ans";1191
"FRANCE ENTIERE";"Psychiatrie";"Entre 45 et 49 ans";1466
"FRANCE ENTIERE";"Psychiatrie";"Entre 50 et 54 ans";1830
"FRANCE ENTIERE";"Psychiatrie";"Entre 55 et 59 ans";2449
"FRANCE ENTIERE";"Psychiatrie";"Entre 60 et 64 ans";2837
"FRANCE ENTIERE";"Psychiatrie";"Entre 65 et 69 ans";1672
"FRANCE ENTIERE";"Psychiatrie";"70 ans et plus";784
"FRANCE ENTIERE";"Radiodiagnostic et imagerie médicale";"Ensemble tous âges confondus";8558
"FRANCE ENTIERE";"Radiodiagnostic et imagerie médicale";"Moins de 30 ans";67
"FRANCE ENTIERE";"Radiodiagnostic et imagerie médicale";"Entre 30 et 34 ans";657
"FRANCE ENTIERE";"Radiodiagnostic et imagerie médicale";"Entre 35 et 39 ans";856
"FRANCE ENTIERE";"Radiodiagnostic et imagerie médicale";"Entre 40 et 44 ans";794
"FRANCE ENTIERE";"Radiodiagnostic et imagerie médicale";"Entre 45 et 49 ans";946
"FRANCE ENTIERE";"Radiodiagnostic et imagerie médicale";"Entre 50 et 54 ans";1283
"FRANCE ENTIERE";"Radiodiagnostic et imagerie médicale";"Entre 55 et 59 ans";1676
"FRANCE ENTIERE";"Radiodiagnostic et imagerie médicale";"Entre 60 et 64 ans";1300
"FRANCE ENTIERE";"Radiodiagnostic et imagerie médicale";"Entre 65 et 69 ans";739
"FRANCE ENTIERE";"Radiodiagnostic et imagerie médicale";"70 ans et plus";240
"FRANCE ENTIERE";"Radiothérapie";"Ensemble tous âges confondus";849
"FRANCE ENTIERE";"Radiothérapie";"Moins de 30 ans";9
"FRANCE ENTIERE";"Radiothérapie";"Entre 30 et 34 ans";109
"FRANCE ENTIERE";"Radiothérapie";"Entre 35 et 39 ans";113
"FRANCE ENTIERE";"Radiothérapie";"Entre 40 et 44 ans";93
"FRANCE ENTIERE";"Radiothérapie";"Entre 45 et 49 ans";97
"FRANCE ENTIERE";"Radiothérapie";"Entre 50 et 54 ans";104
"FRANCE ENTIERE";"Radiothérapie";"Entre 55 et 59 ans";127
"FRANCE ENTIERE";"Radiothérapie";"Entre 60 et 64 ans";133
"FRANCE ENTIERE";"Radiothérapie";"Entre 65 et 69 ans";53
"FRANCE ENTIERE";"Radiothérapie";"70 ans et plus";11
"FRANCE ENTIERE";"Réanimation médicale";"Ensemble tous âges confondus";330
"FRANCE ENTIERE";"Réanimation médicale";"Moins de 30 ans";0
"FRANCE ENTIERE";"Réanimation médicale";"Entre 30 et 34 ans";23
"FRANCE ENTIERE";"Réanimation médicale";"Entre 35 et 39 ans";79
"FRANCE ENTIERE";"Réanimation médicale";"Entre 40 et 44 ans";67
"FRANCE ENTIERE";"Réanimation médicale";"Entre 45 et 49 ans";53
"FRANCE ENTIERE";"Réanimation médicale";"Entre 50 et 54 ans";64
"FRANCE ENTIERE";"Réanimation médicale";"Entre 55 et 59 ans";28
"FRANCE ENTIERE";"Réanimation médicale";"Entre 60 et 64 ans";12
"FRANCE ENTIERE";"Réanimation médicale";"Entre 65 et 69 ans";4
"FRANCE ENTIERE";"Réanimation médicale";"70 ans et plus";0
"FRANCE ENTIERE";"Recherche médicale";"Ensemble tous âges confondus";13
"FRANCE ENTIERE";"Recherche médicale";"Moins de 30 ans";0
"FRANCE ENTIERE";"Recherche médicale";"Entre 30 et 34 ans";0
"FRANCE ENTIERE";"Recherche médicale";"Entre 35 et 39 ans";0
"FRANCE ENTIERE";"Recherche médicale";"Entre 40 et 44 ans";0
"FRANCE ENTIERE";"Recherche médicale";"Entre 45 et 49 ans";0
"FRANCE ENTIERE";"Recherche médicale";"Entre 50 et 54 ans";9
"FRANCE ENTIERE";"Recherche médicale";"Entre 55 et 59 ans";4
"FRANCE ENTIERE";"Recherche médicale";"Entre 60 et 64 ans";0
"FRANCE ENTIERE";"Recherche médicale";"Entre 65 et 69 ans";0
"FRANCE ENTIERE";"Recherche médicale";"70 ans et plus";0
"FRANCE ENTIERE";"Rhumatologie";"Ensemble tous âges confondus";2598
"FRANCE ENTIERE";"Rhumatologie";"Moins de 30 ans";56
"FRANCE ENTIERE";"Rhumatologie";"Entre 30 et 34 ans";172
"FRANCE ENTIERE";"Rhumatologie";"Entre 35 et 39 ans";170
"FRANCE ENTIERE";"Rhumatologie";"Entre 40 et 44 ans";172
"FRANCE ENTIERE";"Rhumatologie";"Entre 45 et 49 ans";294
"FRANCE ENTIERE";"Rhumatologie";"Entre 50 et 54 ans";368
"FRANCE ENTIERE";"Rhumatologie";"Entre 55 et 59 ans";556
"FRANCE ENTIERE";"Rhumatologie";"Entre 60 et 64 ans";481
"FRANCE ENTIERE";"Rhumatologie";"Entre 65 et 69 ans";233
"FRANCE ENTIERE";"Rhumatologie";"70 ans et plus";96
"FRANCE ENTIERE";"Santé publique et médecine sociale";"Ensemble tous âges confondus";1698
"FRANCE ENTIERE";"Santé publique et médecine sociale";"Moins de 30 ans";20
"FRANCE ENTIERE";"Santé publique et médecine sociale";"Entre 30 et 34 ans";170
"FRANCE ENTIERE";"Santé publique et médecine sociale";"Entre 35 et 39 ans";180
"FRANCE ENTIERE";"Santé publique et médecine sociale";"Entre 40 et 44 ans";173
"FRANCE ENTIERE";"Santé publique et médecine sociale";"Entre 45 et 49 ans";219
"FRANCE ENTIERE";"Santé publique et médecine sociale";"Entre 50 et 54 ans";227
"FRANCE ENTIERE";"Santé publique et médecine sociale";"Entre 55 et 59 ans";308
"FRANCE ENTIERE";"Santé publique et médecine sociale";"Entre 60 et 64 ans";305
"FRANCE ENTIERE";"Santé publique et médecine sociale";"Entre 65 et 69 ans";92
"FRANCE ENTIERE";"Santé publique et médecine sociale";"70 ans et plus";4
"FRANCE ENTIERE";"Généralistes";"Ensemble tous âges confondus";102485
"FRANCE ENTIERE";"Généralistes";"Moins de 30 ans";2078
"FRANCE ENTIERE";"Généralistes";"Entre 30 et 34 ans";8014
"FRANCE ENTIERE";"Généralistes";"Entre 35 et 39 ans";8172
"FRANCE ENTIERE";"Généralistes";"Entre 40 et 44 ans";9243
"FRANCE ENTIERE";"Généralistes";"Entre 45 et 49 ans";10840
"FRANCE ENTIERE";"Généralistes";"Entre 50 et 54 ans";16932
"FRANCE ENTIERE";"Généralistes";"Entre 55 et 59 ans";19283
"FRANCE ENTIERE";"Généralistes";"Entre 60 et 64 ans";17792
"FRANCE ENTIERE";"Généralistes";"Entre 65 et 69 ans";7945
"FRANCE ENTIERE";"Généralistes";"70 ans et plus";2186
"FRANCE ENTIERE";"Médecine générale";"Ensemble tous âges confondus";102485
"FRANCE ENTIERE";"Médecine générale";"Moins de 30 ans";2078
"FRANCE ENTIERE";"Médecine générale";"Entre 30 et 34 ans";8014
"FRANCE ENTIERE";"Médecine générale";"Entre 35 et 39 ans";8172
"FRANCE ENTIERE";"Médecine générale";"Entre 40 et 44 ans";9243
"FRANCE ENTIERE";"Médecine générale";"Entre 45 et 49 ans";10840
"FRANCE ENTIERE";"Médecine générale";"Entre 50 et 54 ans";16932
"FRANCE ENTIERE";"Médecine générale";"Entre 55 et 59 ans";19283
"FRANCE ENTIERE";"Médecine générale";"Entre 60 et 64 ans";17792
"FRANCE ENTIERE";"Médecine générale";"Entre 65 et 69 ans";7945
"FRANCE ENTIERE";"Médecine générale";"70 ans et plus";2186
"FRANCE Métropolitaine";"Ensemble des spécialités d'exercice";"Ensemble tous âges confondus";216750
"FRANCE Métropolitaine";"Ensemble des spécialités d'exercice";"Moins de 30 ans";3657
"FRANCE Métropolitaine";"Ensemble des spécialités d'exercice";"Entre 30 et 34 ans";18419
"FRANCE Métropolitaine";"Ensemble des spécialités d'exercice";"Entre 35 et 39 ans";19178
"FRANCE Métropolitaine";"Ensemble des spécialités d'exercice";"Entre 40 et 44 ans";19716
"FRANCE Métropolitaine";"Ensemble des spécialités d'exercice";"Entre 45 et 49 ans";23519
"FRANCE Métropolitaine";"Ensemble des spécialités d'exercice";"Entre 50 et 54 ans";31900
"FRANCE Métropolitaine";"Ensemble des spécialités d'exercice";"Entre 55 et 59 ans";40636
"FRANCE Métropolitaine";"Ensemble des spécialités d'exercice";"Entre 60 et 64 ans";37154
"FRANCE Métropolitaine";"Ensemble des spécialités d'exercice";"Entre 65 et 69 ans";17274
"FRANCE Métropolitaine";"Ensemble des spécialités d'exercice";"70 ans et plus";5297
"FRANCE Métropolitaine";"Spécialistes";"Ensemble tous âges confondus";117092
"FRANCE Métropolitaine";"Spécialistes";"Moins de 30 ans";1646
"FRANCE Métropolitaine";"Spécialistes";"Entre 30 et 34 ans";10659
"FRANCE Métropolitaine";"Spécialistes";"Entre 35 et 39 ans";11336
"FRANCE Métropolitaine";"Spécialistes";"Entre 40 et 44 ans";10811
"FRANCE Métropolitaine";"Spécialistes";"Entre 45 et 49 ans";12993
"FRANCE Métropolitaine";"Spécialistes";"Entre 50 et 54 ans";15423
"FRANCE Métropolitaine";"Spécialistes";"Entre 55 et 59 ans";21764
"FRANCE Métropolitaine";"Spécialistes";"Entre 60 et 64 ans";19707
"FRANCE Métropolitaine";"Spécialistes";"Entre 65 et 69 ans";9560
"FRANCE Métropolitaine";"Spécialistes";"70 ans et plus";3193
"FRANCE Métropolitaine";"Anatomie et cytologie pathologiques";"Ensemble tous âges confondus";1550
"FRANCE Métropolitaine";"Anatomie et cytologie pathologiques";"Moins de 30 ans";13
"FRANCE Métropolitaine";"Anatomie et cytologie pathologiques";"Entre 30 et 34 ans";120
"FRANCE Métropolitaine";"Anatomie et cytologie pathologiques";"Entre 35 et 39 ans";118
"FRANCE Métropolitaine";"Anatomie et cytologie pathologiques";"Entre 40 et 44 ans";140
"FRANCE Métropolitaine";"Anatomie et cytologie pathologiques";"Entre 45 et 49 ans";203
"FRANCE Métropolitaine";"Anatomie et cytologie pathologiques";"Entre 50 et 54 ans";244
"FRANCE Métropolitaine";"Anatomie et cytologie pathologiques";"Entre 55 et 59 ans";308
"FRANCE Métropolitaine";"Anatomie et cytologie pathologiques";"Entre 60 et 64 ans";279
"FRANCE Métropolitaine";"Anatomie et cytologie pathologiques";"Entre 65 et 69 ans";101
"FRANCE Métropolitaine";"Anatomie et cytologie pathologiques";"70 ans et plus";24
"FRANCE Métropolitaine";"Anesthésie-réanimation";"Ensemble tous âges confondus";10855
"FRANCE Métropolitaine";"Anesthésie-réanimation";"Moins de 30 ans";80
"FRANCE Métropolitaine";"Anesthésie-réanimation";"Entre 30 et 34 ans";1112
"FRANCE Métropolitaine";"Anesthésie-réanimation";"Entre 35 et 39 ans";1341
"FRANCE Métropolitaine";"Anesthésie-réanimation";"Entre 40 et 44 ans";1131
"FRANCE Métropolitaine";"Anesthésie-réanimation";"Entre 45 et 49 ans";1115
"FRANCE Métropolitaine";"Anesthésie-réanimation";"Entre 50 et 54 ans";1078
"FRANCE Métropolitaine";"Anesthésie-réanimation";"Entre 55 et 59 ans";2016
"FRANCE Métropolitaine";"Anesthésie-réanimation";"Entre 60 et 64 ans";1938
"FRANCE Métropolitaine";"Anesthésie-réanimation";"Entre 65 et 69 ans";876
"FRANCE Métropolitaine";"Anesthésie-réanimation";"70 ans et plus";168
"FRANCE Métropolitaine";"Biologie médicale";"Ensemble tous âges confondus";2863
"FRANCE Métropolitaine";"Biologie médicale";"Moins de 30 ans";49
"FRANCE Métropolitaine";"Biologie médicale";"Entre 30 et 34 ans";222
"FRANCE Métropolitaine";"Biologie médicale";"Entre 35 et 39 ans";273
"FRANCE Métropolitaine";"Biologie médicale";"Entre 40 et 44 ans";305
"FRANCE Métropolitaine";"Biologie médicale";"Entre 45 et 49 ans";521
"FRANCE Métropolitaine";"Biologie médicale";"Entre 50 et 54 ans";812
"FRANCE Métropolitaine";"Biologie médicale";"Entre 55 et 59 ans";401
"FRANCE Métropolitaine";"Biologie médicale";"Entre 60 et 64 ans";178
"FRANCE Métropolitaine";"Biologie médicale";"Entre 65 et 69 ans";75
"FRANCE Métropolitaine";"Biologie médicale";"70 ans et plus";27
"FRANCE Métropolitaine";"Cardiologie et maladies vasculaires";"Ensemble tous âges confondus";6751
"FRANCE Métropolitaine";"Cardiologie et maladies vasculaires";"Moins de 30 ans";157
"FRANCE Métropolitaine";"Cardiologie et maladies vasculaires";"Entre 30 et 34 ans";615
"FRANCE Métropolitaine";"Cardiologie et maladies vasculaires";"Entre 35 et 39 ans";618
"FRANCE Métropolitaine";"Cardiologie et maladies vasculaires";"Entre 40 et 44 ans";580
"FRANCE Métropolitaine";"Cardiologie et maladies vasculaires";"Entre 45 et 49 ans";773
"FRANCE Métropolitaine";"Cardiologie et maladies vasculaires";"Entre 50 et 54 ans";968
"FRANCE Métropolitaine";"Cardiologie et maladies vasculaires";"Entre 55 et 59 ans";1188
"FRANCE Métropolitaine";"Cardiologie et maladies vasculaires";"Entre 60 et 64 ans";1019
"FRANCE Métropolitaine";"Cardiologie et maladies vasculaires";"Entre 65 et 69 ans";599
"FRANCE Métropolitaine";"Cardiologie et maladies vasculaires";"70 ans et plus";234
"FRANCE Métropolitaine";"Chirurgie générale";"Ensemble tous âges confondus";3537
"FRANCE Métropolitaine";"Chirurgie générale";"Moins de 30 ans";100
"FRANCE Métropolitaine";"Chirurgie générale";"Entre 30 et 34 ans";915
"FRANCE Métropolitaine";"Chirurgie générale";"Entre 35 et 39 ans";293
"FRANCE Métropolitaine";"Chirurgie générale";"Entre 40 et 44 ans";189
"FRANCE Métropolitaine";"Chirurgie générale";"Entre 45 et 49 ans";220
"FRANCE Métropolitaine";"Chirurgie générale";"Entre 50 et 54 ans";193
"FRANCE Métropolitaine";"Chirurgie générale";"Entre 55 et 59 ans";529
"FRANCE Métropolitaine";"Chirurgie générale";"Entre 60 et 64 ans";611
"FRANCE Métropolitaine";"Chirurgie générale";"Entre 65 et 69 ans";365
"FRANCE Métropolitaine";"Chirurgie générale";"70 ans et plus";122
"FRANCE Métropolitaine";"Chirurgie maxillo-faciale et stomatologie";"Ensemble tous âges confondus";1155
"FRANCE Métropolitaine";"Chirurgie maxillo-faciale et stomatologie";"Moins de 30 ans";0
"FRANCE Métropolitaine";"Chirurgie maxillo-faciale et stomatologie";"Entre 30 et 34 ans";50
"FRANCE Métropolitaine";"Chirurgie maxillo-faciale et stomatologie";"Entre 35 et 39 ans";69
"FRANCE Métropolitaine";"Chirurgie maxillo-faciale et stomatologie";"Entre 40 et 44 ans";62
"FRANCE Métropolitaine";"Chirurgie maxillo-faciale et stomatologie";"Entre 45 et 49 ans";73
"FRANCE Métropolitaine";"Chirurgie maxillo-faciale et stomatologie";"Entre 50 et 54 ans";81
"FRANCE Métropolitaine";"Chirurgie maxillo-faciale et stomatologie";"Entre 55 et 59 ans";356
"FRANCE Métropolitaine";"Chirurgie maxillo-faciale et stomatologie";"Entre 60 et 64 ans";321
"FRANCE Métropolitaine";"Chirurgie maxillo-faciale et stomatologie";"Entre 65 et 69 ans";100
"FRANCE Métropolitaine";"Chirurgie maxillo-faciale et stomatologie";"70 ans et plus";43
"FRANCE Métropolitaine";"Chirurgie orthopédique et traumatologie";"Ensemble tous âges confondus";3099
"FRANCE Métropolitaine";"Chirurgie orthopédique et traumatologie";"Moins de 30 ans";1
"FRANCE Métropolitaine";"Chirurgie orthopédique et traumatologie";"Entre 30 et 34 ans";231
"FRANCE Métropolitaine";"Chirurgie orthopédique et traumatologie";"Entre 35 et 39 ans";374
"FRANCE Métropolitaine";"Chirurgie orthopédique et traumatologie";"Entre 40 et 44 ans";384
"FRANCE Métropolitaine";"Chirurgie orthopédique et traumatologie";"Entre 45 et 49 ans";469
"FRANCE Métropolitaine";"Chirurgie orthopédique et traumatologie";"Entre 50 et 54 ans";608
"FRANCE Métropolitaine";"Chirurgie orthopédique et traumatologie";"Entre 55 et 59 ans";506
"FRANCE Métropolitaine";"Chirurgie orthopédique et traumatologie";"Entre 60 et 64 ans";355
"FRANCE Métropolitaine";"Chirurgie orthopédique et traumatologie";"Entre 65 et 69 ans";122
"FRANCE Métropolitaine";"Chirurgie orthopédique et traumatologie";"70 ans et plus";49
"FRANCE Métropolitaine";"Chirurgie infantile";"Ensemble tous âges confondus";286
"FRANCE Métropolitaine";"Chirurgie infantile";"Moins de 30 ans";0
"FRANCE Métropolitaine";"Chirurgie infantile";"Entre 30 et 34 ans";11
"FRANCE Métropolitaine";"Chirurgie infantile";"Entre 35 et 39 ans";52
"FRANCE Métropolitaine";"Chirurgie infantile";"Entre 40 et 44 ans";41
"FRANCE Métropolitaine";"Chirurgie infantile";"Entre 45 et 49 ans";63
"FRANCE Métropolitaine";"Chirurgie infantile";"Entre 50 et 54 ans";49
"FRANCE Métropolitaine";"Chirurgie infantile";"Entre 55 et 59 ans";29
"FRANCE Métropolitaine";"Chirurgie infantile";"Entre 60 et 64 ans";28
"FRANCE Métropolitaine";"Chirurgie infantile";"Entre 65 et 69 ans";11
"FRANCE Métropolitaine";"Chirurgie infantile";"70 ans et plus";2
"FRANCE Métropolitaine";"Chirurgie plastique reconstructrice et esthétique";"Ensemble tous âges confondus";850
"FRANCE Métropolitaine";"Chirurgie plastique reconstructrice et esthétique";"Moins de 30 ans";0
"FRANCE Métropolitaine";"Chirurgie plastique reconstructrice et esthétique";"Entre 30 et 34 ans";68
"FRANCE Métropolitaine";"Chirurgie plastique reconstructrice et esthétique";"Entre 35 et 39 ans";123
"FRANCE Métropolitaine";"Chirurgie plastique reconstructrice et esthétique";"Entre 40 et 44 ans";106
"FRANCE Métropolitaine";"Chirurgie plastique reconstructrice et esthétique";"Entre 45 et 49 ans";105
"FRANCE Métropolitaine";"Chirurgie plastique reconstructrice et esthétique";"Entre 50 et 54 ans";167
"FRANCE Métropolitaine";"Chirurgie plastique reconstructrice et esthétique";"Entre 55 et 59 ans";130
"FRANCE Métropolitaine";"Chirurgie plastique reconstructrice et esthétique";"Entre 60 et 64 ans";84
"FRANCE Métropolitaine";"Chirurgie plastique reconstructrice et esthétique";"Entre 65 et 69 ans";39
"FRANCE Métropolitaine";"Chirurgie plastique reconstructrice et esthétique";"70 ans et plus";28
"FRANCE Métropolitaine";"Chirurgie thoracique et cardio-vasculaire";"Ensemble tous âges confondus";424
"FRANCE Métropolitaine";"Chirurgie thoracique et cardio-vasculaire";"Moins de 30 ans";0
"FRANCE Métropolitaine";"Chirurgie thoracique et cardio-vasculaire";"Entre 30 et 34 ans";18
"FRANCE Métropolitaine";"Chirurgie thoracique et cardio-vasculaire";"Entre 35 et 39 ans";76
"FRANCE Métropolitaine";"Chirurgie thoracique et cardio-vasculaire";"Entre 40 et 44 ans";78
"FRANCE Métropolitaine";"Chirurgie thoracique et cardio-vasculaire";"Entre 45 et 49 ans";73
"FRANCE Métropolitaine";"Chirurgie thoracique et cardio-vasculaire";"Entre 50 et 54 ans";103
"FRANCE Métropolitaine";"Chirurgie thoracique et cardio-vasculaire";"Entre 55 et 59 ans";41
"FRANCE Métropolitaine";"Chirurgie thoracique et cardio-vasculaire";"Entre 60 et 64 ans";22
"FRANCE Métropolitaine";"Chirurgie thoracique et cardio-vasculaire";"Entre 65 et 69 ans";12
